OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
6766,17,19,1201,4002,1.7019E+14,21,42,0.010075547,6.35697E-06,-88.29307181,40.10480036
6767,17,19,1201,4014,1.7019E+14,28,74,0.00857099,2.60378E-06,-88.29255694,40.1025696
6768,17,19,1206,1003,1.7019E+14,24,27,0.005098319,1.30838E-06,-88.29903853,40.09815778
6769,17,19,1206,1015,1.7019E+14,11,28,0.005719488,2.15844E-06,-88.30007629,40.09549634
6770,17,19,10604,1259,1.7019E+14,1,0,0.008433899,3.44225E-06,-88.22154803,40.14545137
6771,17,19,1206,1016,1.7019E+14,0,0,0.014645658,2.10785E-06,-88.2986248,40.09341018
6772,17,19,10604,1255,1.7019E+14,0,0,0.008925411,3.6182E-06,-88.22162252,40.14435807
6773,17,19,902,2011,1.7019E+14,0,0,0.010395405,4.45728E-06,-88.27936776,40.13485531
6774,17,19,5500,3027,1.7019E+14,22,62,0.006586601,1.70876E-06,-88.17485593,40.10617988
6775,17,19,5500,3003,1.7019E+14,10,11,0.002444168,4.14229E-07,-88.17257717,40.11056097
6776,17,19,5500,3014,1.7019E+14,31,87,0.00849616,2.64491E-06,-88.16986782,40.10825108
6777,17,19,800,1036,1.7019E+14,0,0,0.003508155,2.42154E-07,-88.27281318,40.13922612
6778,17,19,5701,4010,1.7019E+14,8,15,0.005158363,1.5021E-06,-88.20241165,40.08833053
6779,17,19,5701,4022,1.7019E+14,31,66,0.008791915,2.82415E-06,-88.19767438,40.08583419
6780,17,19,5701,4021,1.7019E+14,14,33,0.004678591,1.36819E-06,-88.19597972,40.08494064
6781,17,19,5701,4013,1.7019E+14,17,32,0.006129652,2.0893E-06,-88.19331168,40.08886015
6782,17,19,1205,1012,1.7019E+14,0,0,0.006919645,2.54062E-06,-88.31117384,40.10988851
6783,17,19,10700,6103,1.7019E+14,4,9,0.061548504,0.00021769,-88.11465231,40.10786777
6784,17,19,10800,2066,1.7019E+14,3,6,0.054853628,0.000152246,-88.11486979,40.02174384
6785,17,19,5600,5062,1.7019E+14,8,19,0.012697436,4.04247E-06,-88.17138235,40.08663428
6786,17,19,10900,7058,1.7019E+14,1,1,0.005396451,1.78177E-06,-88.45367462,39.94517108
6787,17,19,10604,1179,1.7019E+14,0,0,0.010283149,4.02444E-06,-88.27508958,40.15706776
6788,17,19,5300,2017,1.7019E+14,0,0,0.00286155,4.57341E-07,-88.21036022,40.11673449
6789,17,19,10400,1028,1.7019E+14,5,10,0.019812994,1.61404E-05,-88.13278383,40.38742556
6790,17,19,10400,1038,1.7019E+14,0,0,0.00226531,2.3631E-07,-88.12292458,40.38596739
6791,17,19,10400,4034,1.7019E+14,0,0,0.012397273,8.91154E-06,-88.02352923,40.38691819
6792,17,19,10400,4010,1.7019E+14,3,6,0.023109279,1.48712E-05,-88.0058167,40.39948329
6793,17,19,10601,3013,1.7019E+14,9,16,0.041832902,5.61188E-05,-88.43530692,40.20184888
6794,17,19,10800,5113,1.7019E+14,0,0,0.008512526,4.23906E-06,-88.1215572,39.91005498
6795,17,19,10500,4047,1.7019E+14,0,0,0.025409323,1.74587E-05,-88.42705023,40.35944751
6796,17,19,10500,4049,1.7019E+14,4,13,0.004117779,1.08144E-06,-88.42722472,40.36022976
6797,17,19,10400,4002,1.7019E+14,0,0,0.002748683,4.09573E-07,-87.94449822,40.38477319
